description,Total lipid (fat),"Carbohydrate, by difference",Protein
"Hummus, commercial",17.1 g,14.9 g,7.35 g
"Tomatoes, grape, raw",0.63 g,5.51 g,0.83 g
"Beans, snap, green, canned, regular pack, drained solids",0.39 g,4.11 g,1.04 g
"Frankfurter, beef, unheated",28.0 g,2.89 g,11.7 g
"Nuts, almonds, dry roasted, with salt added",57.8 g,16.2 g,20.4 g
"Kale, raw",1.49 g,4.42 g,2.92 g
"Egg, whole, raw, frozen, pasteurized",10.3 g,0.91 g,12.3 g
"Egg, white, raw, frozen, pasteurized",0.16 g,0.74 g,10.1 g
"Egg, white, dried",0.65 g,6.02 g,79.9 g
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",14.4 g,36.3 g,4.52 g
"Pickles, cucumber, dill or kosher dill",0.43 g,1.99 g,0.48 g
"Cheese, parmesan, grated",28.0 g,12.4 g,29.6 g
"Cheese, pasteurized process, American, vitamin D fortified",30.6 g,5.27 g,18.0 g
"Grapefruit juice, white, canned or bottled, unsweetened",0.7 g,7.59 g,0.55 g
"Peaches, yellow, raw",0.27 g,10.1 g,0.91 g
"Seeds, sunflower seed kernels, dry roasted, with salt added",56.1 g,17.1 g,21.0 g
"Bread, white, commercially prepared",3.59 g,49.2 g,9.43 g
"Kale, frozen, cooked, boiled, drained, without salt",1.21 g,5.3 g,2.94 g
"Mustard, prepared, yellow",3.38 g,5.3 g,4.25 g
"Kiwifruit, green, raw",0.44 g,14.0 g,1.06 g
"Nectarines, raw",0.28 g,9.18 g,1.06 g
"Cheese, cheddar",34.0 g,2.44 g,23.3 g
"Cheese, cottage, lowfat, 2% milkfat",2.3 g,4.31 g,11.0 g
"Cheese, mozzarella, low moisture, part-skim",20.4 g,4.44 g,23.7 g
"Egg, whole, dried",39.8 g,1.87 g,48.1 g
"Egg, yolk, raw, frozen, pasteurized",25.1 g,0.59 g,15.6 g
"Egg, yolk, dried",55.5 g,1.07 g,34.2 g
"Yogurt, Greek, plain, nonfat",0.37 g,3.64 g,10.3 g
"Yogurt, Greek, strawberry, nonfat",0.15 g,12.2 g,8.06 g
"Oil, coconut",99.1 g,0.84 g,0.0 g
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5.95 g,0.0 g,23.9 g
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",3.24 g,0.0 g,32.1 g
"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.48 g,8.05 g,1.41 g
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",3.73 g,0.27 g,16.7 g
"Olives, green, Manzanilla, stuffed with pimiento",12.9 g,4.96 g,1.15 g
"Cookies, oatmeal, soft, with raisins",14.3 g,69.6 g,5.79 g
"Tomatoes, canned, red, ripe, diced",0.5 g,3.32 g,0.84 g
"Fish, haddock, raw",0.45 g,0.0 g,16.3 g
"Fish, pollock, raw",0.41 g,0.0 g,12.3 g
"Fish, tuna, light, canned in water, drained solids",0.94 g,0.08 g,19.0 g
"Restaurant, Chinese, fried rice, without meat",3.19 g,32.5 g,3.84 g
"Restaurant, Latino, tamale, pork",9.04 g,15.8 g,7.38 g
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",9.01 g,31.5 g,5.59 g
"Bread, whole-wheat, commercially prepared",3.55 g,43.1 g,12.3 g
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",6.36 g,0.0 g,27.7 g
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",6.39 g,0.0 g,22.8 g
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",2.48 g,0.0 g,23.4 g
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",2.41 g,0.0 g,23.7 g
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",5.32 g,0.0 g,22.7 g
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",11.4 g,0.0 g,27.3 g
"Carrots, frozen, unprepared",0.47 g,7.92 g,0.81 g
"Cheese, dry white, queso seco",24.3 g,2.07 g,24.5 g
"Cheese, ricotta, whole milk",11.0 g,6.86 g,7.81 g
"Cheese, swiss",31.0 g,1.44 g,27.0 g
"Figs, dried, uncooked",0.92 g,63.9 g,3.3 g
"Lettuce, cos or romaine, raw",0.26 g,3.24 g,1.24 g
"Melons, cantaloupe, raw",0.18 g,8.16 g,0.82 g
"Oranges, raw, navels",0.15 g,11.8 g,0.91 g
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.95 g,5.18 g,3.38 g
"Pears, raw, bartlett",0.16 g,15.1 g,0.38 g
"Restaurant, Chinese, sweet and sour pork",13.6 g,25.5 g,8.88 g
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.08 g,4.92 g,3.43 g
"Sauce, salsa, ready-to-serve",0.19 g,6.74 g,1.44 g
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.9 g,4.9 g,3.36 g
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",28.7 g,3.37 g,13.3 g
"Sausage, Italian, pork, mild, cooked, pan-fried",26.2 g,2.15 g,18.2 g
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",28.1 g,2.63 g,19.3 g
"Milk, whole, 3.25% milkfat, with added vitamin D",3.2 g,4.63 g,3.27 g
"Sausage, turkey, breakfast links, mild, raw",10.4 g,0.93 g,16.7 g
"Sugars, granulated",0.32 g,99.6 g,0.0 g
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",11.6 g,0.0 g,27.1 g
"Ham, sliced, restaurant",3.68 g,2.36 g,19.6 g
"Cheese, American, restaurant",31.1 g,6.35 g,17.5 g
"Beans, Dry, Medium Red (0% moisture)",1.04 g,,25.5 g
"Beans, Dry, Red (0% moisture)",1.16 g,,21.3 g
"Beans, Dry, Flor de Mayo (0% moisture)",0.86 g,,23.3 g
"Beans, Dry, Brown (0% moisture)",1.12 g,,25.6 g
"Beans, Dry, Tan (0% moisture)",1.14 g,,26.8 g
"Beans, Dry, Light Tan (0% moisture)",1.28 g,,24.6 g
"Beans, Dry, Carioca (0% moisture)",1.44 g,,25.2 g
"Beans, Dry, Cranberry (0% moisture)",1.23 g,,24.4 g
"Beans, Dry, Light Red Kidney (0% moisture)",1.03 g,,25.0 g
"Beans, Dry, Pink (0% moisture)",1.2 g,,23.4 g
"Beans, Dry, Dark Red Kidney (0% moisture)",1.31 g,,25.9 g
"Beans, Dry, Navy (0% moisture)",1.51 g,,24.1 g
"Beans, Dry, Small White (0% moisture)",1.32 g,,24.5 g
"Beans, Dry, Small Red (0% moisture)",1.28 g,,23.5 g
"Beans, Dry, Black (0% moisture)",1.45 g,,24.4 g
"Beans, Dry, Pinto (0% moisture)",1.24 g,,23.7 g
"Beans, Dry, Great Northern (0% moisture)",1.24 g,,24.7 g
"Broccoli, raw",0.34 g,6.27 g,2.57 g
"Ketchup, restaurant",0.55 g,26.8 g,1.11 g
"Eggs, Grade A, Large, egg white",0.0 g,2.36 g,10.7 g
"Eggs, Grade A, Large, egg yolk",28.8 g,1.02 g,16.2 g
"Eggs, Grade A, Large, egg whole",9.96 g,0.96 g,12.4 g
"Pork, cured, bacon, cooked, restaurant",36.5 g,2.1 g,40.9 g
"Butter, stick, unsalted",81.5 g,,
"Flour, wheat, all-purpose, enriched, bleached",1.48 g,77.3 g,10.9 g
"Flour, wheat, all-purpose, enriched, unbleached",1.48 g,73.2 g,13.1 g
"Flour, wheat, all-purpose, unenriched, unbleached",1.7 g,74.6 g,12.0 g
"Flour, whole wheat, unenriched",2.73 g,71.2 g,15.1 g
"Flour, bread, white, enriched, unbleached",1.65 g,72.8 g,14.3 g
"Flour, rice, white, unenriched",1.3 g,79.8 g,6.94 g
"Flour, corn, yellow, fine meal, enriched",1.74 g,80.8 g,6.2 g
"Butter, stick, salted",82.2 g,,
"Onions, red, raw",0.1 g,9.93 g,0.94 g
"Onions, yellow, raw",0.05 g,8.61 g,0.83 g
"Garlic, raw",0.38 g,28.2 g,6.62 g
"Flour, soy, defatted",3.33 g,32.9 g,51.1 g
"Flour, soy, full-fat",20.7 g,27.9 g,38.6 g
"Flour, rice, brown",3.85 g,75.5 g,7.19 g
"Flour, rice, glutinous",1.16 g,80.1 g,6.69 g
"Flour, pastry, unenriched, unbleached",1.64 g,77.2 g,8.75 g
"Onions, white, raw",0.13 g,7.68 g,0.89 g
"Bananas, overripe, raw",0.22 g,20.1 g,0.73 g
"Bananas, ripe and slightly ripe, raw",0.29 g,23.0 g,0.74 g
"Apples, red delicious, with skin, raw",0.212 g,14.8 g,0.188 g
"Apples, fuji, with skin, raw",0.162 g,15.7 g,0.148 g
"Apples, gala, with skin, raw",0.15 g,14.8 g,0.133 g
"Apples, granny smith, with skin, raw",0.138 g,14.1 g,0.266 g
"Apples, honeycrisp, with skin, raw",0.1 g,14.7 g,0.102 g
"Mushroom, lion's mane",0.256 g,7.59 g,2.5 g
"Mushroom, oyster",0.188 g,6.94 g,2.9 g
"Mushrooms, shiitake",0.195 g,8.17 g,2.41 g
